1463675516.29 , serbatoio , 71.78 , al_fondi , 37.16 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.63 , tazza2 , 41.89 , vapore , 0.0 
1463675516.3 , serbatoio , 71.79 , al_fondi , 37.31 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.64 , tazza2 , 42.02 , vapore , 0.0 
1463675516.3 , serbatoio , 71.8 , al_fondi , 37.45 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.63 , tazza2 , 41.89 , vapore , 0.0 
1463675516.3 , serbatoio , 71.79 , al_fondi , 37.3 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.62 , tazza2 , 42.01 , vapore , 0.0 
1463675516.3 , serbatoio , 71.81 , al_fondi , 37.44 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.63 , tazza2 , 42.14 , vapore , 0.0 
1463675516.3 , serbatoio , 71.79 , al_fondi , 37.3 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.62 , tazza2 , 42.0 , vapore , 0.0 
1463675516.3 , serbatoio , 71.81 , al_fondi , 37.44 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.63 , tazza2 , 42.13 , vapore , 0.0 
1463675516.31 , serbatoio , 71.79 , al_fondi , 37.3 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.62 , tazza2 , 42.0 , vapore , 0.0 
1463675516.31 , serbatoio , 71.81 , al_fondi , 37.43 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.63 , tazza2 , 42.12 , vapore , 0.0 
1463675516.31 , serbatoio , 71.82 , al_fondi , 37.57 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.62 , tazza2 , 41.99 , vapore , 0.0 
1463675516.31 , serbatoio , 71.81 , al_fondi , 37.43 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.11 , vapore , 0.0 
1463675516.31 , serbatoio , 71.82 , al_fondi , 37.57 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.64 , tazza2 , 42.24 , vapore , 0.0 
1463675516.31 , serbatoio , 71.81 , al_fondi , 37.43 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.1 , vapore , 0.0 
1463675516.32 , serbatoio , 71.82 , al_fondi , 37.56 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.64 , tazza2 , 42.23 , vapore , 0.0 
1463675516.32 , serbatoio , 71.81 , al_fondi , 37.42 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.1 , vapore , 0.0 
1463675516.32 , serbatoio , 71.82 , al_fondi , 37.56 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.64 , tazza2 , 42.22 , vapore , 0.0 
1463675516.32 , serbatoio , 71.83 , al_fondi , 37.42 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.09 , vapore , 0.0 
1463675516.32 , serbatoio , 71.82 , al_fondi , 37.28 , al_generico , 5.22 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.64 , tazza2 , 42.21 , vapore , 0.0 
1463675516.33 , serbatoio , 71.83 , al_fondi , 37.41 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.65 , tazza2 , 42.33 , vapore , 0.0 
1463675516.33 , serbatoio , 71.82 , al_fondi , 37.28 , al_generico , 5.22 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.64 , tazza2 , 42.2 , vapore , 0.0 
1463675516.33 , serbatoio , 71.83 , al_fondi , 37.41 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.65 , tazza2 , 42.32 , vapore , 0.0 
1463675516.33 , serbatoio , 71.82 , al_fondi , 37.27 , al_generico , 5.22 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.64 , tazza2 , 42.2 , vapore , 0.0 
1463675516.33 , serbatoio , 71.83 , al_fondi , 37.41 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.65 , tazza2 , 42.31 , vapore , 0.0 
1463675516.33 , serbatoio , 71.82 , al_fondi , 37.27 , al_generico , 5.22 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.64 , tazza2 , 42.19 , vapore , 0.0 
1463675516.34 , serbatoio , 71.81 , al_fondi , 37.14 , al_generico , 5.22 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.65 , tazza2 , 42.3 , vapore , 0.0 
1463675516.34 , serbatoio , 71.82 , al_fondi , 37.27 , al_generico , 5.22 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.66 , tazza2 , 42.18 , vapore , 0.0 
1463675516.34 , serbatoio , 71.81 , al_fondi , 37.14 , al_generico , 5.22 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.65 , tazza2 , 42.05 , vapore , 0.0 
1463675516.34 , serbatoio , 71.82 , al_fondi , 37.27 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.12 , tazza1 , 70.66 , tazza2 , 42.17 , vapore , 0.0 
1463675516.34 , serbatoio , 71.81 , al_fondi , 37.13 , al_generico , 5.22 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.64 , tazza2 , 42.05 , vapore , 0.0 
